,Group.1,Group.2,Group.3,x
479,4,1998,G6,26.7
480,5,1998,G6,30.02
481,6,1998,G6,NaN
482,7,1998,G6,32.74
483,8,1998,G6,32.35
484,9,1998,G6,32.235
485,10,1998,G6,NaN
486,11,1998,G6,27.806666666666665
487,12,1998,G6,31.12
488,1,1999,G6,31.505000000000003
489,2,1999,G6,27.80666666666667
490,3,1999,G6,29.34
491,4,1999,G6,31.13
492,5,1999,G6,30.49
493,6,1999,G6,26.14
494,7,1999,G6,30.19
495,8,1999,G6,31.01
496,9,1999,G6,30.57
497,10,1999,G6,28.2
498,11,1999,G6,NaN
499,12,1999,G6,26.96
500,1,2000,G6,29.58
501,2,2000,G6,29.11
502,3,2000,G6,28.42
503,4,2000,G6,30.23
504,5,2000,G6,30.33
505,6,2000,G6,31.17
506,7,2000,G6,25.28
507,8,2000,G6,30.95
508,9,2000,G6,30.99
509,10,2000,G6,31.4
510,11,2000,G6,31.47
511,12,2000,G6,28.68
512,1,2001,G6,29.31
513,2,2001,G6,29.41
514,3,2001,G6,30.48
515,4,2001,G6,29.73
516,5,2001,G6,26.83
517,6,2001,G6,29.39
518,7,2001,G6,29.96
519,8,2001,G6,30.93
520,9,2001,G6,29.17
521,10,2001,G6,31.24
522,11,2001,G6,29.22
523,12,2001,G6,30.15
524,1,2002,G6,28.42
525,2,2002,G6,30.85
526,3,2002,G6,31.81
527,4,2002,G6,28.71
528,5,2002,G6,30.18
529,6,2002,G6,30.22
530,7,2002,G6,29.17
531,8,2002,G6,30.01
532,9,2002,G6,30.62
533,10,2002,G6,30.74
534,11,2002,G6,30.59
535,12,2002,G6,31.25
536,1,2003,G6,29.65
537,2,2003,G6,31.08
538,3,2003,G6,31.84
539,4,2003,G6,29.93
540,5,2003,G6,30.34
541,6,2003,G6,NaN
542,7,2003,G6,31.98
543,8,2003,G6,31.45
544,9,2003,G6,31.96
545,10,2003,G6,32.67
546,11,2003,G6,31.81
547,12,2003,G6,30.24
548,1,2004,G6,31.16
549,2,2004,G6,NaN
550,3,2004,G6,31.82
551,4,2004,G6,29.92
552,5,2004,G6,31.16
553,6,2004,G6,30.68
554,7,2004,G6,30.12
555,8,2004,G6,32.05
556,9,2004,G6,30.5
557,10,2004,G6,33.38
558,11,2004,G6,29.61
559,12,2004,G6,31.35
560,1,2005,G6,28.06
561,2,2005,G6,31.09
562,3,2005,G6,29.27
563,4,2005,G6,30.55
564,5,2005,G6,29.9
565,6,2005,G6,30.34
566,7,2005,G6,30.61
567,8,2005,G6,30.23
568,9,2005,G6,29.55
569,10,2005,G6,31.83
570,11,2005,G6,32.48
571,12,2005,G6,31.93
572,1,1990,GROO,15.15
573,2,1990,GROO,15.13
574,3,1990,GROO,10.81
575,4,1990,GROO,16.47
576,5,1990,GROO,17.55
577,6,1990,GROO,19.74
578,7,1990,GROO,22.19
579,8,1990,GROO,25.13
580,9,1990,GROO,21.69
581,10,1990,GROO,21.69
582,11,1990,GROO,16.98
583,12,1990,GROO,9.8
584,1,1991,GROO,6.18
585,2,1991,GROO,13.39
586,3,1991,GROO,12.78
